country,location_name,latitude,longitude,temperature_celsius,precip_mm,humidity,air_quality_PM2.5
Bulgaria,Sofia,42.68,23.32,26.685714285714283,0.016190476190476193,43.523809523809526,8.292142857142856
Bulgaria,Sofia,42.6833,23.3167,11.13076923076923,0.011692307692307693,68.21538461538462,23.798807692307694
Burkina Faso,Ouagadougou,12.37,-1.52,33.00833333333333,0.012083333333333335,53.208333333333336,8.4625
Burkina Faso,Ouagadougou,12.3703,-1.5247,26.875968992248062,0.002558139534883721,51.372093023255815,35.639224806201554
Burundi,Bujumbura,-3.38,29.36,27.572972972972973,0.014864864864864866,46.21621621621622,17.125945945945944
Burundi,Bujumbura,-3.3761,29.36,25.141984732824426,0.03717557251908397,66.23664122137404,24.791832059612712
Bélgica,Bern,51.1,4.75,17.4,0.05,63.0,1.8
Cambodia,Phnom Penh,11.55,104.9167,32.669924812030075,0.017142857142857144,54.83458646616541,29.554661657003532
Cambodia,Phnom Penh,11.55,104.92,29.76086956521739,0.01782608695652174,83.0,20.016304347826086
Cameroon,Aba,5.6,14.05,20.2,0.0,96.0,9.2
Cameroon,Bafoussam,5.47,10.42,22.35,0.05,79.5,2.45
Cameroon,Douala,4.0503,9.7,25.35263157894737,0.03280701754385965,96.29824561403508,20.814736842105265
Cameroon,Ngaoundere,7.3167,13.5833,25.720588235294116,0.012058823529411766,51.911764705882355,30.79933823529412
Cameroon,Ngaoundere,7.32,13.58,24.05,0.04035714285714286,73.57142857142857,3.98375
Cameroon,Ninga,4.3167,10.5167,22.7,0.03333333333333333,98.33333333333333,2.1999999999999997
Cameroon,Yaounde,3.87,11.52,31.0,0.03333333333333333,58.0,2.533333333333333
Canada,Ottawa,45.4167,-75.7,5.236842105263159,0.006776315789473684,82.1842105263158,10.659934210526316
Canada,Ottawa,45.42,-75.7,17.7375,0.017916666666666668,86.20833333333333,4.494166666666667
Cape Verde,Praia,14.93,-23.51,27.589473684210528,0.008421052631578947,69.73684210526316,10.098157894736843
Cape Verde,Praia,14.9315,-23.5125,23.063725490196077,0.003529411764705882,72.97058823529412,23.92137254901961
Central African Republic,Bangui,4.3667,18.5833,26.457723577235775,0.008048780487804878,77.00813008130082,28.871626019361543
Central African Republic,Bangui,4.37,18.58,30.045454545454547,0.022424242424242423,63.42424242424242,2.935909090909091
Chad,N'djamena,12.11,15.05,31.35,0.011363636363636364,62.40909090909091,12.26568181818182
Chad,N'djamena,12.1131,15.0492,28.37013888888889,0.0007638888888888889,35.548611111111114,40.9923263835907
Chile,Santiago,-33.45,-70.67,6.515625,0.0037500000000000003,83.0,56.155156250000005
Chile,Santiago,-33.45,-70.6667,11.845528455284553,0.001056910569105691,75.6829268292683,46.093943089430894
China,Beijing,39.9289,116.3883,17.226016260162602,0.004878048780487805,37.886178861788615,53.17747967479676
China,Beijing,39.93,116.39,25.13,0.013000000000000001,66.0,53.23800000000001
Comoros,Moroni,-11.7042,43.2403,27.243636363636366,0.027545454545454547,72.1,10.361363634629683
Comoros,Moroni,-11.7,43.24,25.326923076923077,0.024615384615384615,72.07692307692308,6.530961538461539
Congo,Brazzaville,-4.26,15.28,30.04137931034483,0.001724137931034483,53.93103448275862,19.198275862068964
Congo,Brazzaville,-4.2592,15.2847,25.287401574803148,0.008031496062992126,80.8740157480315,27.53555118110236
Costa Rica,San Andres,9.7333,-84.0833,16.0,0.0,94.66666666666667,8.233333333333334
Costa Rica,San Ignacio,9.8,-84.17,19.50952380952381,0.014761904761904763,86.33333333333333,15.583095238095238
Costa Rica,San Ignacio,9.8,-84.1667,18.850746268656717,0.010149253731343285,83.8955223880597,10.373805970149252
Costa Rica,San Jose,9.9333,-84.0833,19.077966101694912,0.008813559322033898,84.67796610169492,8.837457627118644
Costa Rica,San Juan,9.97,-84.08,24.0,0.03333333333333333,79.0,24.0
Cote d'Ivoire,Yamoussoukro,6.8167,-5.2833,23.04126984126984,0.0025396825396825397,91.31746031746032,9.48111111111111
Croatia,Zagreb,45.8,16.0,13.853594771241829,0.008627450980392158,72.31372549019608,20.841797385620914
Cuba,Havana,23.13,-82.36,25.821739130434782,0.0052173913043478265,89.91304347826087,6.356304347826087
Cuba,Havana,23.1319,-82.3642,21.79491525423729,0.0005084745762711864,92.44067796610169,9.555296610169492
Cyprus,Nicosia,35.1667,33.3667,22.11023622047244,0.005669291338582677,54.01574803149607,13.819685039370079
Cyprus,Nicosia,35.17,33.37,33.404347826086955,0.002173913043478261,37.30434782608695,11.174565217391304
Czech Republic,Prague,50.08,14.47,21.695833333333336,0.009583333333333334,59.916666666666664,7.9835416666666665
Czech Republic,Prague,50.0833,14.4667,9.676666666666668,0.010833333333333334,74.725,18.671708333333335
Democratic Republic of Congo,Kinshasa,-4.3,15.3,26.580555555555556,0.00951388888888889,72.70138888888889,22.521840277777777
Denmark,Copenhagen,55.6667,12.5833,9.550387596899224,0.014806201550387598,79.42635658914729,11.738643410852713
